PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1985,11.5,-74.375,1.54,0.4,1.7,7.38,60.5,63.78,128.11,94.1,143.12,146.22,40.86,33.53,721.24
PRECTOTCORR_SUM,1985,11.5,-75.0,1.62,0.15,0.71,7.84,54.1,108.33,95.22,83.33,149.3,123.3,45.22,23.1,692.22
PRECTOTCORR_SUM,1985,11.5,-75.625,2.25,0.0,0.0,11.53,42.02,180.34,45.48,67.73,151.26,85.98,44.68,13.52,644.79
PRECTOTCORR_SUM,1985,11.5,-76.25,2.41,0.0,0.0,12.53,42.14,216.16,47.17,73.94,148.66,85.29,43.63,14.05,685.98
PRECTOTCORR_SUM,1985,11.5,-76.875,2.93,0.45,0.22,12.97,44.31,221.55,49.9,78.2,141.71,96.54,42.12,18.94,709.84
PRECTOTCORR_SUM,1985,12.0,-71.25,3.86,3.59,9.77,43.41,55.1,26.19,74.16,85.72,92.05,91.88,51.67,49.84,587.24
PRECTOTCORR_SUM,1985,12.0,-71.875,2.99,1.97,6.48,39.57,62.07,51.58,93.18,97.59,120.66,109.42,40.85,47.66,674.02
PRECTOTCORR_SUM,1985,12.0,-72.5,2.07,1.79,8.26,71.15,74.18,43.72,93.66,96.54,112.34,101.14,35.26,54.28,694.39
PRECTOTCORR_SUM,1985,12.0,-73.125,3.91,1.33,3.15,9.74,62.0,77.07,128.64,117.14,152.69,153.61,47.62,41.38,798.28
PRECTOTCORR_SUM,1985,12.0,-73.75,3.45,1.32,2.77,4.66,53.28,73.91,131.05,109.47,133.83,142.68,41.4,32.31,730.13
PRECTOTCORR_SUM,1985,12.0,-74.375,2.53,1.17,2.2,3.47,50.68,70.78,133.48,102.64,118.48,136.05,40.68,29.41,691.57
PRECTOTCORR_SUM,1985,12.0,-75.0,2.31,0.97,1.14,5.73,43.74,95.45,90.0,78.51,118.81,111.9,40.55,23.29,612.4
PRECTOTCORR_SUM,1985,12.0,-75.625,2.72,0.85,0.32,9.93,35.76,138.79,36.08,55.91,125.87,85.71,39.28,16.86,548.08
PRECTOTCORR_SUM,1985,12.0,-76.25,2.92,0.69,0.3,11.49,35.14,163.93,36.62,59.5,125.78,84.52,38.34,16.45,575.68
PRECTOTCORR_SUM,1985,12.0,-76.875,3.44,1.04,0.47,12.87,37.46,172.59,39.64,64.0,124.33,96.98,39.19,20.72,612.73
PRECTOTCORR_SUM,1985,12.5,-71.25,6.04,5.08,7.67,30.69,42.64,23.95,53.75,70.13,68.33,91.99,44.98,46.17,491.42
PRECTOTCORR_SUM,1985,12.5,-71.875,4.6,3.93,6.4,33.63,48.01,33.9,68.1,78.84,80.8,95.1,35.74,44.26,533.31
PRECTOTCORR_SUM,1985,12.5,-72.5,3.14,3.0,7.72,55.11,64.27,36.02,76.2,87.8,92.65,94.39,34.87,50.3,605.47
